@relation 'SomeTitle-weka.filters.unsupervised.attribute.Remove-R1,3-119,121-279'

@attribute col2 numeric
@attribute col120 numeric
@attribute col280 numeric

@data
0,0,8
1,0,6
0,0,10
0,0,1
0,0,7
0,0,14
1,0,1
1,0,1
0,0,1
1,0,10
0,0,3
1,0,1
1,0,10
0,0,6
1,0,1
1,0,1
0,0,10
1,0,1
0,0,1
1,0,1
1,0,1
0,0,1
1,0,1
1,0,1
1,0,1
0,0,16
0,1,14
1,0,10
1,0,2
1,0,2
0,0,6
1,0,1
1,0,1
1,0,1
0,0,4
1,0,1
0,0,1
1,0,10
1,0,1
0,0,6
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,4
1,0,5
1,0,1
1,0,6
1,0,1
1,0,1
1,0,1
0,0,10
1,0,16
0,0,16
1,0,6
1,0,1
0,0,1
0,0,6
1,0,1
0,0,5
1,0,5
1,0,1
1,0,1
1,0,1
1,0,1
1,0,2
1,0,1
1,0,6
1,0,1
1,0,6
0,0,16
1,0,1
1,0,1
1,0,1
0,0,10
0,0,3
1,0,2
1,0,1
1,0,1
1,0,1
0,0,1
1,0,2
0,0,4
0,0,6
1,1,9
0,0,2
0,0,4
0,0,9
1,0,9
1,0,1
1,0,4
1,0,1
1,0,5
1,0,10
0,0,1
1,0,10
1,0,1
1,0,1
1,0,1
0,0,4
1,0,1
1,0,1
0,0,1
1,0,6
0,0,4
0,0,6
1,0,1
0,0,2
0,0,1
1,0,1
0,0,1
1,0,1
0,0,1
0,0,6
1,0,1
0,0,16
1,0,1
1,0,1
1,0,1
1,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
0,0,1
0,0,10
1,0,1
0,0,1
0,0,1
1,0,1
1,0,1
0,0,1
1,0,10
0,0,1
1,0,1
0,0,10
1,0,1
1,0,1
0,0,1
1,0,5
0,0,1
1,0,1
0,0,10
0,0,10
0,0,10
1,0,1
1,0,1
1,0,10
1,0,1
0,0,1
0,0,1
1,0,6
1,0,16
0,0,1
1,0,1
1,0,2
0,0,1
1,0,1
1,0,1
1,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,5
0,0,4
0,0,1
0,0,1
1,0,1
0,0,10
1,0,15
1,0,6
1,0,1
1,0,1
0,0,1
1,0,2
1,0,1
0,0,16
0,0,1
0,0,4
1,0,2
0,0,4
1,0,2
0,0,2
1,0,14
1,0,9
1,0,1
1,0,1
0,0,2
1,0,2
1,0,1
1,0,1
1,0,1
0,0,16
1,0,16
1,0,1
1,0,2
1,0,1
1,0,1
1,0,1
0,0,3
1,0,1
0,0,1
0,0,9
1,0,1
0,0,10
1,0,10
0,0,1
0,0,2
0,0,2
1,0,4
1,0,1
1,0,2
1,0,15
0,0,3
0,0,16
1,0,1
0,0,1
0,0,6
1,0,1
1,0,10
0,0,3
0,0,1
0,0,16
0,0,1
1,0,1
0,0,1
0,0,4
1,0,1
0,0,1
1,0,1
0,0,2
0,0,1
1,0,2
0,0,1
1,0,1
0,0,1
1,0,1
0,0,1
1,0,15
1,0,1
1,0,2
0,0,1
1,0,1
1,0,4
1,0,1
1,0,10
0,0,4
0,0,3
0,0,3
1,0,1
0,0,1
0,0,2
0,0,3
0,0,5
0,0,2
1,0,1
1,0,16
1,0,1
1,0,1
1,0,1
1,0,1
1,0,10
1,0,1
0,0,1
1,0,1
1,0,1
1,0,1
0,0,6
1,0,1
1,0,1
1,0,2
1,0,1
1,0,2
1,0,10
0,0,1
0,0,1
0,0,1
0,0,1
1,0,6
0,0,10
0,0,3
1,0,1
1,0,1
0,0,1
1,0,1
1,0,1
0,0,10
0,0,1
0,0,10
1,0,2
1,0,2
1,0,2
1,0,10
1,0,10
0,0,1
0,0,15
1,0,1
0,0,6
0,0,3
1,0,2
0,0,1
0,0,16
0,0,6
1,0,2
0,0,7
0,0,1
0,0,1
0,0,10
0,0,10
0,0,1
0,0,1
0,0,5
0,0,1
0,0,1
0,0,10
0,0,5
0,0,1
1,0,2
0,0,2
0,0,10
1,0,1
1,0,10
0,0,7
1,0,1
1,0,2
0,0,1
0,0,1
0,0,16
0,0,1
1,0,10
1,0,1
1,1,10
1,0,1
1,0,1
0,0,1
0,0,16
1,0,10
0,0,1
0,0,6
0,0,10
1,0,1
0,0,10
1,0,1
1,0,5
0,0,1
0,0,1
1,0,2
1,0,1
0,0,10
0,0,16
0,0,1
0,0,3
0,0,2
1,0,6
0,0,2
1,0,2
0,0,3
1,0,16
0,0,10
1,0,6
0,0,1
0,0,2
0,0,2
0,0,2
0,0,1
1,0,9
1,0,1
0,0,2
1,0,1
1,0,5
1,0,2
0,0,8
1,0,1
1,0,1
0,0,10
0,0,16
0,0,3
0,0,1
0,0,1
0,0,6
1,0,1
0,0,16
1,0,5
0,0,9
0,0,1
1,0,1
0,0,1
1,0,1
1,0,1
0,0,1
1,0,9
1,0,1
1,0,10
0,0,3
1,0,1
1,0,10
0,0,14
1,0,1
1,0,5
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,16
0,0,4
0,0,2
0,0,16
1,0,1
1,0,1
0,0,1
1,0,1
0,0,10
1,0,1
1,0,1
1,0,15
1,0,1
1,0,1
0,0,1
0,0,9
0,0,1
1,0,1
0,0,10
0,0,1
1,0,16
0,0,10
0,0,6
0,0,10
0,0,3
0,0,1
1,0,1
1,0,1
1,0,1
0,0,1
1,0,1
0,0,1
1,0,1
1,0,1
1,0,10
0,0,1
0,0,1
1,0,1
1,0,1
0,0,10
0,0,2
1,0,1
1,0,1
