@relation 'SomeTitle-weka.filters.unsupervised.attribute.Remove-R4,6,8-10,12-15'

@attribute c1 {a,b}
@attribute c2 numeric
@attribute c3 numeric
@attribute c5 {g,p,gg}
@attribute c7 {v,h,bb,j,n,z,dd,ff,o}
@attribute c11 numeric
@attribute c16 {+,-}

@data
b,30.83,0,g,v,1,+
a,58.67,4.46,g,h,6,+
a,24.5,0.5,g,h,0,+
b,27.83,1.54,g,v,5,+
b,20.17,5.625,g,v,0,+
b,32.08,4,g,v,0,+
b,33.17,1.04,g,h,0,+
a,22.92,11.585,g,v,0,+
b,54.42,0.5,p,h,0,+
b,42.5,4.915,p,v,0,+
b,22.08,0.83,g,h,0,+
b,29.92,1.835,g,h,0,+
a,38.25,6,g,v,0,+
b,48.08,6.04,g,v,0,+
a,45.83,10.5,g,v,7,+
b,36.67,4.415,p,v,10,+
b,28.25,0.875,g,v,3,+
a,23.25,5.875,g,v,10,+
b,21.83,0.25,g,h,0,+
a,19.17,8.585,g,h,7,+
b,25,11.25,g,v,17,+
b,23.25,1,g,v,0,+
a,47.75,8,g,v,6,+
a,27.42,14.5,g,h,1,+
a,41.17,6.5,g,v,3,+
a,15.83,0.585,g,h,2,+
a,47,13,g,bb,9,+
b,56.58,18.5,g,bb,17,+
b,57.42,8.5,g,h,3,+
b,42.08,1.04,g,v,6,+
b,29.25,14.79,g,v,5,+
b,42,9.79,g,h,8,+
b,49.5,7.585,g,bb,15,+
a,36.75,5.125,g,v,0,+
a,22.58,10.75,g,v,5,+
b,27.83,1.5,g,v,11,+
b,27.25,1.585,g,h,12,+
a,23,11.75,g,h,2,+
b,27.75,0.585,p,v,2,+
b,54.58,9.415,g,ff,11,+
b,34.17,9.17,g,v,12,+
b,28.92,15,g,h,11,+
b,29.67,1.415,g,h,1,+
b,39.58,13.915,g,v,6,+
b,56.42,28,p,v,40,+
b,54.33,6.75,g,h,11,+
a,41,2.04,p,h,23,+
b,31.92,4.46,g,h,3,+
b,41.5,1.54,g,bb,0,+
b,23.92,0.665,g,v,0,+
a,25.75,0.5,g,h,0,+
b,26,1,g,v,0,+
b,37.42,2.04,g,v,0,+
b,34.92,2.5,g,v,0,+
b,34.25,3,g,h,0,+
b,23.33,11.625,p,v,0,+
b,23.17,0,g,v,0,+
b,44.33,0.5,g,h,0,+
b,35.17,4.5,g,h,0,+
b,43.25,3,g,h,11,+
b,56.75,12.25,g,v,4,+
b,31.67,16.165,g,v,9,+
a,23.42,0.79,p,v,2,+
a,20.42,0.835,g,v,1,+
b,26.67,4.25,g,v,1,+
b,34.17,1.54,g,v,1,+
a,36,1,g,v,11,+
b,25.5,0.375,g,v,3,+
